micro_b001_0		[[Yes, it's annoying and cumbersome to separate your rubbish properly all the time.]]	 Three different bin bags stin
micro_b001_1	ubbish properly all the time. 	[[Three different bin bags stink away in the kitchen and have to be sorted into different wheelie bins.]]	 But still Germany produces wa
micro_b001_2	 into different wheelie bins. 	[[But still Germany produces way too much rubbish and too many resources are lost when what actually should be separated and recycled is burnt.]]	 We Berliners should take the 
micro_b001_3	arated and recycled is burnt. 	[[We Berliners should take the chance and become pioneers in waste separation!]]	
micro_b002_0		[[One can hardly move in Friedrichshain or Neukölln these days without permanently scanning the ground for dog dirt.]]	 And when bad luck does strike
micro_b002_1	ning the ground for dog dirt. 	[[And when bad luck does strike and you step into one of the many 'land mines' you have to painstakingly scrape the remains off your soles.]]	 Higher fines are therefore th
micro_b002_2	e the remains off your soles. 	[[Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners.]]	 Of course, first they'd actua
micro_b002_3	imply thoughtless dog owners. 	[[Of course, first they'd actually need to be caught in the act by public order officers, but once they have to dig into their pockets, their laziness will sure vanish!]]	
micro_b003_0		[[Health insurance companies should not cover treatment in complementary medicine unless the promised effect and its medical benefit have been concretely proven.]]	 Yet this very proof is lackin
micro_b003_1	 have been concretely proven. 	[[Yet this very proof is lacking in most cases.]]	 Patients do often report reli
micro_b003_2	oof is lacking in most cases. 	[[Patients do often report relief of their complaints after such treatments.]]	 But as long as it is unclear 
micro_b003_3	laints after such treatments. 	[[But as long as it is unclear as to how this works, the funds should rather be spent on therapies where one knows with certainty.]]	
micro_b004_0		[[Of course there are a number of programmes in public broadcasting that are not worth the licencing fee, and others, such as “Musikantenstadl” and soap operas, are only interesting to certain audiences.]]	 Nevertheless, everybody shoul
micro_b004_1	resting to certain audiences. 	[[Nevertheless, everybody should contribute to the funding of the public broadcasters in equal measure, for we need general and independent media.]]	 After all we want to get our 
micro_b004_2	eneral and independent media. 	[[After all we want to get our view of the world neither through the lens of the government nor through that of rich media entrepreneurs.]]	
micro_b005_0		[[Intelligence services must urgently be regulated more tightly by parliament; this should be clear to everyone after the disclosures of Edward Snowden.]]	 Granted, those concern primar
micro_b005_1	isclosures of Edward Snowden. 	[[Granted, those concern primarily the British and American intelligence services, but the German services evidently do collaborate with them closely.]]	 Their tools, data and experti
micro_b005_2	ollaborate with them closely. 	[[Their tools, data and expertise have been used to keep us under surveillance for a long time.]]	
micro_b006_0		[[The death penalty is a legal means that as such is not practicable in Germany.]]	 For one thing, inviolable hum
micro_b006_1	s not practicable in Germany. 	[[For one thing, inviolable human dignity is anchored in our constitution, and furthermore no one may have the right to adjudicate upon the death of another human being.]]	 Even if many people think tha
micro_b006_2	death of another human being. 	[[Even if many people think that a murderer has already decided on the life or death of another person, this is precisely the crime that we should not repay with the same.]]	
micro_b007_0		[[Dog dirt on the pavement requires my complete, ground-focused attention on my way to work.]]	 This results in a lack of ale
micro_b007_1	 attention on my way to work. 	[[This results in a lack of alertness in the road traffic comparable to a minor offense of the traffic regulations.]]	 That's why causing such obsta
micro_b007_2	e of the traffic regulations. 	[[That's why causing such obstacles must to be more urgently punished.]]	 Dog owners may think that dog
micro_b007_3	to be more urgently punished. 	[[Dog owners may think that dog dirt is only a harmless secretion of an animal like any other.]]	 Yet then they misjudge its im
micro_b007_4	 of an animal like any other. 	[[Yet then they misjudge its impact on road traffic.]]	
micro_b008_0		[[Of course it would be nice and simple if after a fun night out with a party acquaintance you could simply take the 'morning-after pill' and feel at ease.]]	 But it's not that simple. Per
micro_b008_1	after pill' and feel at ease. 	[[But it's not that simple.]]	 Perhaps a new life was alread
